,model_name,scaler_name,accuracy,f1_score,precision,recall
3,RandomForest,StandardScaler,0.8524590163934426,0.8489942574829168,0.8699453551912568,0.8524590163934426
4,RandomForest,MinMaxScaler,0.8524590163934426,0.8489942574829168,0.8699453551912568,0.8524590163934426
8,SVC,RobustScaler,0.8360655737704918,0.8312656919214296,0.8582966813274691,0.8360655737704918
0,LogisticRegression,StandardScaler,0.819672131147541,0.8132263690268574,0.847035621841489,0.819672131147541
6,SVC,StandardScaler,0.819672131147541,0.8132263690268574,0.847035621841489,0.819672131147541
1,LogisticRegression,MinMaxScaler,0.8032786885245902,0.799672131147541,0.8125644846956324,0.8032786885245902
2,LogisticRegression,RobustScaler,0.8032786885245902,0.7975188303057155,0.8221511395441824,0.8032786885245902
5,RandomForest,RobustScaler,0.8032786885245902,0.799672131147541,0.8125644846956324,0.8032786885245902
7,SVC,MinMaxScaler,0.8032786885245902,0.7975188303057155,0.8221511395441824,0.8032786885245902
